Time[s], SBUS, 自研422+, 自研422-, 淘宝422+, 淘宝422-
0.00519243, 0, 1, 0, 0, 0
0.00519254, 0, 1, 0, 1, 0
0.00520110, 0, 1, 0, 0, 0
0.00520122, 0, 1, 0, 0, 1
0.00522711, 0, 1, 0, 0, 0
0.00522722, 0, 1, 0, 1, 0
0.00527048, 0, 1, 0, 0, 0
0.00527059, 0, 1, 0, 0, 1
0.00527914, 0, 1, 0, 0, 0
0.00527926, 0, 1, 0, 1, 0
0.00528782, 0, 1, 0, 0, 0
0.00528793, 0, 1, 0, 0, 1
0.00533984, 0, 1, 0, 0, 0
0.00533995, 0, 1, 0, 1, 0
0.00537453, 0, 1, 0, 0, 0
0.00537464, 0, 1, 0, 0, 1
0.00538319, 0, 1, 0, 0, 0
0.00538331, 0, 1, 0, 1, 0
0.00540054, 0, 1, 0, 0, 0
0.00540065, 0, 1, 0, 0, 1
0.00545256, 0, 1, 0, 0, 0
0.00545267, 0, 1, 0, 1, 0
0.00546123, 0, 1, 0, 0, 0
0.00546135, 0, 1, 0, 0, 1
0.00546990, 0, 1, 0, 0, 0
0.00547001, 0, 1, 0, 1, 0
0.00551326, 0, 1, 0, 0, 0
0.00551337, 0, 1, 0, 0, 1
0.00553927, 0, 1, 0, 0, 0
0.00553938, 0, 1, 0, 1, 0
0.00554795, 0, 1, 0, 0, 0
0.00554806, 0, 1, 0, 0, 1
0.00558262, 0, 1, 0, 0, 0
0.00558274, 0, 1, 0, 1, 0
0.00563466, 0, 1, 0, 0, 0
0.00563477, 0, 1, 0, 0, 1
0.00569534, 0, 1, 0, 0, 0
0.00569546, 0, 1, 0, 1, 0
0.00572136, 0, 1, 0, 0, 0
0.00572148, 0, 1, 0, 0, 1
0.00573003, 0, 1, 0, 0, 0
0.00573014, 0, 1, 0, 1, 0
0.00575605, 0, 1, 0, 0, 0
0.00575616, 0, 1, 0, 0, 1
0.00579939, 0, 1, 0, 0, 0
0.00579951, 0, 1, 0, 1, 0
0.00580807, 0, 1, 0, 0, 0
0.00580818, 0, 1, 0, 0, 1
0.00582541, 0, 1, 0, 0, 0
0.00582552, 0, 1, 0, 1, 0
0.00586876, 0, 1, 0, 0, 0
0.00586887, 0, 1, 0, 0, 1
0.00588609, 0, 1, 0, 0, 0
0.00588621, 0, 1, 0, 1, 0
0.00589477, 0, 1, 0, 0, 0
0.00589488, 0, 1, 0, 0, 1
0.00593812, 0, 1, 0, 0, 0
0.00593823, 0, 1, 0, 1, 0
0.00598149, 0, 1, 0, 0, 0
0.00598160, 0, 1, 0, 0, 1
0.00599015, 0, 1, 0, 0, 0
0.00599026, 0, 1, 0, 1, 0
0.00599883, 0, 1, 0, 0, 0
0.00599894, 0, 1, 0, 0, 1
0.00605086, 0, 1, 0, 0, 0
0.00605097, 0, 1, 0, 1, 0
0.00606821, 0, 1, 0, 0, 0
0.00606832, 0, 1, 0, 0, 1
0.00607687, 0, 1, 0, 0, 0
0.00607699, 0, 1, 0, 1, 0
0.00611156, 0, 1, 0, 0, 0
0.00611167, 0, 1, 0, 0, 1
0.00614623, 0, 1, 0, 0, 0
0.00614634, 0, 1, 0, 1, 0
0.00615491, 0, 1, 0, 0, 0
0.00615502, 0, 1, 0, 0, 1
0.00618092, 0, 1, 0, 0, 0
0.00618103, 0, 1, 0, 1, 0
0.00622427, 0, 1, 0, 0, 0
0.00622439, 0, 1, 0, 0, 1
0.00623294, 0, 1, 0, 0, 0
0.00623305, 0, 1, 0, 1, 0
0.00624161, 0, 1, 0, 0, 0
0.00624173, 0, 1, 0, 0, 1
0.00631965, 0, 1, 0, 0, 0
0.00631976, 0, 1, 0, 1, 0
0.00632832, 0, 1, 0, 0, 0
0.00632844, 0, 1, 0, 0, 1
0.00640636, 0, 1, 0, 0, 0
0.00640648, 0, 1, 0, 1, 0
0.00819327, 0, 0, 0, 1, 0
0.00819330, 0, 0, 1, 1, 0
0.00819341, 1, 0, 1, 1, 0
0.00820300, 0, 0, 1, 1, 0
0.00820330, 0, 0, 0, 1, 0
0.00820333, 0, 1, 0, 1, 0
0.00824325, 0, 0, 0, 1, 0
0.00824328, 0, 0, 1, 1, 0
0.00824343, 1, 0, 1, 1, 0
0.00829300, 0, 0, 1, 1, 0
0.00829329, 0, 0, 0, 1, 0
0.00829333, 0, 1, 0, 1, 0
0.00831325, 0, 0, 0, 1, 0
0.00831329, 0, 0, 1, 1, 0
0.00831342, 1, 0, 1, 1, 0
0.00837300, 0, 0, 1, 1, 0
0.00837329, 0, 0, 0, 1, 0
0.00837333, 0, 1, 0, 1, 0
0.00843325, 0, 0, 0, 1, 0
0.00843328, 0, 0, 1, 1, 0
0.00843343, 1, 0, 1, 1, 0
0.00844299, 0, 0, 1, 1, 0
0.00844328, 0, 0, 0, 1, 0
0.00844333, 0, 1, 0, 1, 0
0.00846325, 0, 0, 0, 1, 0
0.00846328, 0, 0, 1, 1, 0
0.00846340, 1, 0, 1, 1, 0
0.00849300, 0, 0, 1, 1, 0
0.00849328, 0, 0, 0, 1, 0
0.00849333, 0, 1, 0, 1, 0
0.00850324, 0, 0, 0, 1, 0
0.00850328, 0, 0, 1, 1, 0
0.00850341, 1, 0, 1, 1, 0
0.00852299, 0, 0, 1, 1, 0
0.00852328, 0, 0, 0, 1, 0
0.00852333, 0, 1, 0, 1, 0
0.00855324, 0, 0, 0, 1, 0
0.00855327, 0, 0, 1, 1, 0
0.00855341, 1, 0, 1, 1, 0
0.00856298, 0, 0, 1, 1, 0
0.00856299, 1, 0, 1, 1, 0
0.00856300, 0, 0, 1, 1, 0
0.00856328, 0, 0, 0, 1, 0
0.00856332, 0, 1, 0, 1, 0
0.00860325, 0, 0, 0, 1, 0
0.00860328, 0, 0, 1, 1, 0
0.00860343, 1, 0, 1, 1, 0
0.00865298, 0, 0, 1, 1, 0
0.00865299, 1, 0, 1, 1, 0
0.00865300, 0, 0, 1, 1, 0
0.00865328, 0, 0, 0, 1, 0
0.00865332, 0, 1, 0, 1, 0
0.00867324, 0, 0, 0, 1, 0
0.00867328, 0, 0, 1, 1, 0
0.00867341, 1, 0, 1, 1, 0
0.00872298, 0, 0, 1, 1, 0
0.00872327, 0, 0, 0, 1, 0
0.00872331, 0, 1, 0, 1, 0
0.00874324, 0, 0, 0, 1, 0
0.00874327, 0, 0, 1, 1, 0
0.00874342, 1, 0, 1, 1, 0
0.00877299, 0, 0, 1, 1, 0
0.00877328, 0, 0, 0, 1, 0
0.00877332, 0, 1, 0, 1, 0
0.00879323, 0, 0, 0, 1, 0
0.00879326, 0, 0, 1, 1, 0
0.00879340, 1, 0, 1, 1, 0
0.00886298, 0, 0, 1, 1, 0
0.00886327, 0, 0, 0, 1, 0
0.00886331, 0, 1, 0, 1, 0
0.00888323, 0, 0, 0, 1, 0
0.00888326, 0, 0, 1, 1, 0
0.00888340, 1, 0, 1, 1, 0
0.00889298, 0, 0, 1, 1, 0
0.00889327, 0, 0, 0, 1, 0
0.00889331, 0, 1, 0, 1, 0
0.00891324, 0, 0, 0, 1, 0
0.00891327, 0, 0, 1, 1, 0
0.00891343, 1, 0, 1, 1, 0
0.00892298, 0, 0, 1, 1, 0
0.00892327, 0, 0, 0, 1, 0
0.00892331, 0, 1, 0, 1, 0
0.00895323, 0, 0, 0, 1, 0
0.00895326, 0, 0, 1, 1, 0
0.00895339, 1, 0, 1, 1, 0
0.00900298, 0, 0, 1, 1, 0
0.00900326, 0, 0, 0, 1, 0
0.00900331, 0, 1, 0, 1, 0
0.00903323, 0, 0, 0, 1, 0
0.00903326, 0, 0, 1, 1, 0
0.00903339, 1, 0, 1, 1, 0
0.00905297, 0, 0, 1, 1, 0
0.00905326, 0, 0, 0, 1, 0
0.00905330, 0, 1, 0, 1, 0
0.00910323, 0, 0, 0, 1, 0
0.00910326, 0, 0, 1, 1, 0
0.00910340, 1, 0, 1, 1, 0
0.00912297, 0, 0, 1, 1, 0
0.00912326, 0, 0, 0, 1, 0
0.00912331, 0, 1, 0, 1, 0
0.00915322, 0, 0, 0, 1, 0
0.00915325, 0, 0, 1, 1, 0
0.00915338, 1, 0, 1, 1, 0
0.00920297, 0, 0, 1, 1, 0
0.00920326, 0, 0, 0, 1, 0
0.00920330, 0, 1, 0, 1, 0
0.00924322, 0, 0, 0, 1, 0
0.00924325, 0, 0, 1, 1, 0
0.00924339, 1, 0, 1, 1, 0
0.00925296, 0, 0, 1, 1, 0
0.00925326, 0, 0, 0, 1, 0
0.00925330, 0, 1, 0, 1, 0
0.00927322, 0, 0, 0, 1, 0
0.00927325, 0, 0, 1, 1, 0
0.00927340, 1, 0, 1, 1, 0
0.00928297, 0, 0, 1, 1, 0
0.00928325, 0, 0, 0, 1, 0
0.00928331, 0, 1, 0, 1, 0
0.00929322, 0, 0, 0, 1, 0
0.00929325, 0, 0, 1, 1, 0
0.00929339, 1, 0, 1, 1, 0
0.00935296, 0, 0, 1, 1, 0
0.00935325, 0, 0, 0, 1, 0
0.00935330, 0, 1, 0, 1, 0
0.00936321, 0, 0, 0, 1, 0
0.00936325, 0, 0, 1, 1, 0
0.00936338, 1, 0, 1, 1, 0
0.00937296, 0, 0, 1, 1, 0
0.00937325, 0, 0, 0, 1, 0
0.00937330, 0, 1, 0, 1, 0
0.00939320, 0, 0, 0, 1, 0
0.00939324, 0, 0, 1, 1, 0
0.00939336, 1, 0, 1, 1, 0
0.00940296, 0, 0, 1, 1, 0
0.00940325, 0, 0, 0, 1, 0
0.00940330, 0, 1, 0, 1, 0
0.00944321, 0, 0, 0, 1, 0
0.00944324, 0, 0, 1, 1, 0
0.00944339, 1, 0, 1, 1, 0
0.00949296, 0, 0, 1, 1, 0
0.00949324, 0, 0, 0, 1, 0
0.00949329, 0, 1, 0, 1, 0
0.00951321, 0, 0, 0, 1, 0
0.00951324, 0, 0, 1, 1, 0
0.00951338, 1, 0, 1, 1, 0
0.00954296, 0, 0, 1, 1, 0
0.00954325, 0, 0, 0, 1, 0
0.00954329, 0, 1, 0, 1, 0
0.00959320, 0, 0, 0, 1, 0
0.00959324, 0, 0, 1, 1, 0
0.00959337, 1, 0, 1, 1, 0
0.00960296, 0, 0, 1, 1, 0
0.00960325, 0, 0, 0, 1, 0
0.00960329, 0, 1, 0, 1, 0
0.00963320, 0, 0, 0, 1, 0
0.00963324, 0, 0, 1, 1, 0
0.00963337, 1, 0, 1, 1, 0
0.00963338, 0, 0, 1, 1, 0
0.00963339, 1, 0, 1, 1, 0
0.00963340, 0, 0, 1, 1, 0
0.00963341, 1, 0, 1, 1, 0
0.00969295, 0, 0, 1, 1, 0
